Model,Quantization,Context_Window,Dataset,Batch_Size,Latency_sec,Memory_MB,Energy_J,Power_W,Input_Tokens,Output_Tokens,Energy_per_InputToken,Energy_per_OutputToken,Carbon_gCO2eq
meta-llama/Llama-2-7b-hf,fp16,2048,alpaca,4,69.7979,14030.2223,5001.759999999999,71.6606,4096,4096,1.2211,1.2211,0.4752
meta-llama/Llama-2-7b-hf,fp16,2048,alpaca,4,84.88929999999999,14848.2089,6100.42,71.8632,16384,4096,0.3723,1.4894,0.5794
meta-llama/Llama-2-7b-hf,fp16,2048,alpaca,4,106.7477,16048.2493,7677.780000000001,71.9245,32768,4096,0.2343,1.8745,0.7295
meta-llama/Llama-2-7b-hf,fp16,2048,alpaca,4,70.726,14030.2223,5090.06,71.9687,4096,4096,1.2427,1.2427,0.4835
meta-llama/Llama-2-7b-hf,fp16,2048,alpaca,4,299.7077,14850.3142,21569.039999999997,71.9669,4096,16384,5.2659,1.3165,2.0491
meta-llama/Llama-2-7b-hf,fp16,2048,alpaca,4,660.6723,15940.8865,47484.85999999999,71.8735,4096,32768,11.593,1.4491,4.511
meta-llama/Llama-2-7b-hf,fp16,2048,alpaca,4,70.6541,14030.2223,5090.61,72.0497,4096,4096,1.2428,1.2428,0.4836
meta-llama/Llama-2-7b-hf,fp16,2048,gsm8k,4,70.78529999999999,14030.2223,5090.76,71.9183,4096,4096,1.2429,1.2429,0.4836
meta-llama/Llama-2-7b-hf,int4,2048,alpaca,4,134.81279999999998,4819.5594,9691.43,71.8881,4096,4096,2.3661,2.3661,0.9207
meta-llama/Llama-2-7b-hf,int8,2048,alpaca,4,122.9581,7574.4246,7269.68,59.1232,4096,4096,1.7748,1.7748,0.6905
meta-llama/Llama-2-7b-hf,fp16,2048,alpaca,4,70.69149999999999,14030.2223,5091.589999999999,72.0255,4096,4096,1.2431,1.2431,0.4838
meta-llama/Llama-2-7b-hf,fp16,2048,alpaca,1,248.6748,13622.1629,17924.800000000003,72.0813,4096,4096,4.3762,4.3762,1.7025
meta-llama/Llama-2-7b-hf,fp16,2048,alpaca,2,134.48239999999998,13759.4112,9674.24,71.9368,4096,4096,2.3619,2.3619,0.919
meta-llama/Llama-2-7b-hf,fp16,2048,alpaca,4,70.6714,14030.2223,5091.92,72.0506,4096,4096,1.2431,1.2431,0.4837
