Model,Dataset,Batch_Number,Latency_sec,Memory_MB,Input_Tokens,Output_Tokens,Energy_per_InputToken,Energy_per_OutputToken,Carbon_Emissions_g
meta-llama/Llama-2-7b-hf,alpaca,1,9.059926986694336,14030.214144,512,512,1.2556,1.2556,0.080539
meta-llama/Llama-2-7b-hf,alpaca,2,8.822322845458984,14030.222336,512,512,1.2351,1.2351,0.079222
meta-llama/Llama-2-7b-hf,alpaca,1,37.505924701690674,14850.29376,512,2048,5.2781,1.3195,0.338547
meta-llama/Llama-2-7b-hf,alpaca,2,37.34518003463745,14850.31424,512,2048,5.236,1.309,0.335846
meta-llama/Llama-2-7b-hf,alpaca,1,82.44720339775085,15940.849664,512,4096,11.5582,1.4448,0.741368
meta-llama/Llama-2-7b-hf,alpaca,2,82.44180870056152,15940.886528,512,4096,11.5616,1.4452,0.741584
meta-llama/Llama-2-7b-hf,gsm8k,1,37.5343599319458,14576.173056,1024,1024,2.6385,2.6385,0.338478
meta-llama/Llama-2-7b-hf,gsm8k,2,37.50765252113342,14576.205824,1024,1024,2.6401,2.6401,0.33869
meta-llama/Llama-2-7b-hf,gsm8k,3,37.488518476486206,14576.205824,1024,1024,2.634,2.634,0.337907
meta-llama/Llama-2-7b-hf,gsm8k,4,37.49255585670471,14576.205824,1024,1024,2.6343,2.6343,0.337936
meta-llama/Llama-2-7b-hf,gsm8k,1,34.87857508659363,14303.39584,1024,512,2.4515,4.9029,0.314485
meta-llama/Llama-2-7b-hf,gsm8k,2,34.888826847076416,14303.408128,1024,512,2.4518,4.9037,0.314531
meta-llama/Llama-2-7b-hf,gsm8k,3,34.88464403152466,14303.408128,1024,512,2.4518,4.9036,0.314527
meta-llama/Llama-2-7b-hf,gsm8k,4,34.874967098236084,14303.408128,1024,512,2.4544,4.9087,0.314857
meta-llama/Llama-2-7b-hf,gsm8k,5,34.87687540054321,14303.408128,1024,512,2.452,4.9039,0.314547
meta-llama/Llama-2-7b-hf,gsm8k,6,34.8729612827301,14303.408128,1024,512,2.4519,4.9038,0.314539
meta-llama/Llama-2-7b-hf,gsm8k,7,34.88041543960571,14303.408128,1024,512,2.4513,4.9026,0.314461
meta-llama/Llama-2-7b-hf,gsm8k,8,34.875314712524414,14303.408128,1024,512,2.4523,4.9046,0.314595
meta-llama/Llama-2-7b-hf,alpaca,1,71.11250114440918,14576.059392,1024,1024,4.9945,4.9945,0.640714
meta-llama/Llama-2-7b-hf,alpaca,2,71.09757947921753,14576.075776,1024,1024,4.9955,4.9955,0.64085
meta-llama/Llama-2-7b-hf,alpaca,3,71.08876347541809,14576.075776,1024,1024,4.9945,4.9945,0.640714
meta-llama/Llama-2-7b-hf,alpaca,4,71.08598351478577,14576.075776,1024,1024,4.9955,4.9955,0.64085
meta-llama/Llama-2-7b-hf,alpaca,5,71.07954835891724,14576.075776,1024,1024,4.9942,4.9942,0.640681
meta-llama/Llama-2-7b-hf,alpaca,6,71.08177971839905,14576.075776,1024,1024,4.9957,4.9957,0.64087
meta-llama/Llama-2-7b-hf,alpaca,7,71.08851170539856,14576.075776,1024,1024,4.997,4.997,0.641039
meta-llama/Llama-2-7b-hf,alpaca,8,71.10193729400635,14576.075776,1024,1024,5.0035,5.0035,0.641868
